id;title;order_index;summary;book_id
1;Greetings and Introductions;1;Học cách chào hỏi và tự giới thiệu bản thân bằng tiếng Anh.;1
2;Numbers and Counting;2;Học số đếm từ 1-100 và cách sử dụng số trong giao tiếp.;1
3;Days and Months;3;Các ngày trong tuần, tháng trong năm và cách nói về thời gian.;1
4;Present Simple Tense;1;Thì hiện tại đơn - cách dùng, cấu trúc và bài tập thực hành.;2
5;Present Continuous Tense;2;Thì hiện tại tiếp diễn - sự khác biệt với hiện tại đơn.;2
6;Past Simple Tense;3;Thì quá khứ đơn - động từ có quy tắc và bất quy tắc.;2
7;Email Writing Basics;1;Cách viết email chuyên nghiệp trong công việc.;3
8;Meeting and Presentation;2;Từ vựng và cụm từ cho họp và thuyết trình.;3
9;TOEIC Listening Part 1-2;1;Phần nghe 1 và 2 TOEIC - chiến lược và luyện tập.;4
10;TOEIC Reading Part 5-6;2;Phần đọc 5 và 6 TOEIC - ngữ pháp và từ vựng.;4
11;Academic Words List 1;1;Danh sách từ vựng học thuật nhóm 1 - Định nghĩa và ví dụ.;6
12;Phrasal Verbs in Context;2;Cụm động từ thông dụng trong ngữ cảnh thực tế.;6
13;At the Airport;1;Từ vựng và mẫu câu khi làm thủ tục tại sân bay.;7
14;Hotel Check-in;2;Giao tiếp khi nhận phòng và yêu cầu dịch vụ khách sạn.;7
15;Asking for Directions;3;Cách hỏi và chỉ đường khi đi du lịch.;7
