id;example_text;translation;word_id
1;안녕하세요, 만나서 반갑습니다.;Hello, nice to meet you.;1
2;도와주셔서 감사합니다.;Thank you for your help.;2
3;네, 맞아요.;Yes, that's right.;3
4;아니요, 괜찮습니다.;No, thank you.;4
5;저는 한국어 학생입니다.;I am a Korean language student.;5
6;선생님, 질문 있습니다.;Teacher, I have a question.;6
7;저녁으로 무엇을 먹을까요?;What should we eat for dinner?;7
8;커피 마실래요?;Would you like to drink some coffee?;8
9;이 영화는 정말 재미있어요.;This movie is really fun.;9
10;한국어 발음은 어려워요.;Korean pronunciation is difficult.;10
11;오늘 날씨가 좋네요.;The weather is nice today.;11
12;밖에 비가 와요.;It's raining outside.;12
13;주말에 쇼핑하러 갈 거예요.;I'm going shopping on the weekend.;13
14;시장에서 신선한 과일을 샀어요.;I bought fresh fruit at the market.;14
15;이메일 확인해주세요.;Please check your email.;15
16;내일 오전에 회의가 있습니다.;There is a meeting tomorrow morning.;16
17;이 소설은 아주 유명해요.;This novel is very famous.;17
18;한국 문학에 관심이 많아요.;I am very interested in Korean literature.;18
19;이 콘서트 완전 대박이었어!;This concert was totally awesome!;19
20;새로 나온 게임 완전 꿀잼이야.;The new game is super fun.;20
