id;rating;comment;created_at;app_user_id;book_id
1;5;This book is perfect for absolute beginners!;2023-01-25 14:00:00;4;1
2;5;Finally, I can understand the basic sentence structure.;2023-02-15 11:00:00;5;2
3;4;The stories are interesting, but some vocabulary is a bit advanced.;2023-02-20 18:00:00;6;3
4;5;A must-have for anyone taking the TOPIK I. The practice tests are very helpful.;2023-03-01 10:00:00;7;4
5;4;Great for listening practice, but the pace is a little fast for me.;2023-03-10 12:00:00;8;5
6;5;I love how practical the phrases are. I used them on my trip to Seoul!;2023-03-18 20:00:00;10;6
7;4;Good for business context, but needs more examples for different industries.;2023-03-15 13:00:00;9;7
8;5;My pronunciation has improved so much thanks to this book.;2023-03-21 16:00:00;11;8
9;5;So many useful phrases for everyday conversations. Highly recommend!;2023-03-22 19:00:00;13;6
10;4;I wish there were more examples for each idiom.;2023-03-23 11:00:00;15;10
