id;title;order_index;book_id
1;Introduction to Hangul;1;1
2;Basic Vowels and Consonants;2;1
3;Forming Syllable Blocks;3;1
4;Nouns and Particles (I);1;2
5;Verbs and Adjectives (Present Tense);2;2
6;Basic Sentence Structure;3;2
7;A Day in Seoul;1;3
8;Making Friends;2;3
9;At the Restaurant;3;3
10;Introduction to TOPIK;1;4
11;Reading Section Strategies;2;4
12;Listening Section Strategies;3;4
13;News Report: Weather Forecast;1;5
14;Interview with a Film Director;2;5
15;Podcast: Modern Korean Society;3;5
16;Greetings and Introductions;1;6
17;Shopping at a Traditional Market;2;6
18;Using Public Transportation;3;6
19;Writing Professional Emails;1;7
20;Participating in a Meeting;2;7
21;Consonant Pronunciation;1;8
22;Vowel Pronunciation;2;8
23;Intonation and Rhythm;3;8
24;"The Vegetarian" by Han Kang (Excerpt);1;9
25;"Kim Jiyoung, Born 1982" by Cho Nam-joo (Excerpt);2;9
26;Introduction to Korean Slang;1;10
27;Common Idiomatic Expressions;2;10
